trans_period,DevelopmentRegion,RegionalDistrict,Municipality,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2017-05-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,DISTRICT OF HUDSON'S HOPE,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,413600,137866.6667,147600,NA,NA,0,NA,NA,NA,NA
2017-05-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,DISTRICT OF NORTHERN ROCKIES REGIONAL MUNICIPALITY,5,4,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,951500,190300,265000,11925,3300,0,NA,NA,NA,NA
2017-05-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,DISTRICT OF TAYLOR,6,6,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1126953.43,187825.5717,136976.715,14599.53,1369.765,0,NA,NA,NA,NA
2017-05-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,DISTRICT OF TUMBLER RIDGE,10,10,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,653900,65390,54750,6539,547.5,0,NA,NA,NA,NA
2017-05-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,FORT ST. JOHN RURAL,17,15,7,0,1,0,7,0,0,0,1,1,0,0,0,0,1,6107280,359251.7647,378500,95562.8,5570,NA,NA,NA,NA,NA
2017-05-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,VILLAGE OF POUCE COUPE,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,273000,136500,136500,NA,NA,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,CENTRAL OKANAGAN,CENTRAL OKANAGAN RURAL,40,39,9,0,1,0,29,0,0,0,0,0,0,0,1,0,0,15852687,396317.175,383250,245834.1,4920,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,CENTRAL OKANAGAN,CITY OF KELOWNA,488,477,1,2,3,1,206,233,3,28,4,0,2,2,2,4,1,236018919.9,483645.3276,435000,3661734.66,6440,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,CENTRAL OKANAGAN,DISTRICT OF LAKE COUNTRY,53,53,3,0,0,0,38,8,0,4,0,0,0,0,0,0,0,33043240.04,623457.3592,522500,520976.5,7200,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,CENTRAL OKANAGAN,DISTRICT OF PEACHLAND,27,25,1,1,0,0,20,2,0,1,2,1,0,1,0,0,0,14761297.52,546714.723,510000,229602.61,8000,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,CENTRAL OKANAGAN,DISTRICT OF WEST KELOWNA,122,121,1,2,0,0,76,36,1,5,1,0,0,1,0,0,0,72382317.46,593297.6841,527500,1159588.4,8111.6,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,CENTRAL OKANAGAN,WESTBANK FIRST NATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,COLUMBIA SHUSWAP,CITY OF REVELSTOKE,19,18,1,0,0,0,16,1,0,0,1,1,0,0,0,0,0,5981003.86,314789.6768,310000,84518.97,4200,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,COLUMBIA SHUSWAP,DISTRICT OF SALMON ARM,62,61,2,1,2,0,38,12,0,6,1,1,0,0,0,0,0,22464596.2,362332.1968,353000,297994.03,3700,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,COLUMBIA SHUSWAP,DISTRICT OF SICAMOUS,20,18,0,0,0,0,14,4,0,0,0,0,0,0,1,0,1,4719200,235960,238500,61557,2770,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,COLUMBIA SHUSWAP,GOLDEN RURAL,16,16,9,0,0,0,3,4,0,0,0,0,0,0,0,0,0,5689400,355587.5,323750,82429,4475,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,COLUMBIA SHUSWAP,REVELSTOKE RURAL,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2568900,642225,489500,NA,NA,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,COLUMBIA SHUSWAP,SALMON ARM RURAL,97,82,20,6,1,0,49,6,0,0,0,0,0,0,10,5,0,28187194.75,290589.6366,249000,420535.09,2280,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,COLUMBIA SHUSWAP,TOWN OF GOLDEN,9,7,0,1,0,0,4,2,0,0,1,1,0,0,0,0,1,2555727.19,283969.6878,295000,NA,NA,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,NORTH OKANAGAN,CITY OF ARMSTRONG,25,22,1,0,0,0,13,8,0,0,3,3,0,0,0,0,0,7102489.28,284099.5712,349900,69544.35,2300,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,NORTH OKANAGAN,CITY OF ENDERBY,15,14,1,0,0,0,12,1,0,0,0,0,0,0,0,0,1,4450400,296693.3333,297000,60708,3940,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,NORTH OKANAGAN,CITY OF VERNON,167,163,1,2,1,4,96,55,0,4,4,3,0,1,0,0,0,62791821.99,375998.9341,340000,893045.26,4500,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,NORTH OKANAGAN,DISTRICT OF COLDSTREAM,34,34,2,0,1,0,28,1,0,2,0,0,0,0,0,0,0,17320390.24,509423.2424,533500,271865.91,8120,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,NORTH OKANAGAN,DISTRICT OF SPALLUMCHEEN,11,11,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,7536505,685136.8182,550000,NA,NA,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,NORTH OKANAGAN,VERNON RURAL,38,33,14,0,1,0,14,4,0,0,1,1,0,0,3,1,0,10762990.11,283236.5818,263650,155391.15,3273,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,NORTH OKANAGAN,VILLAGE OF LUMBY,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1019000,254750,288000,NA,NA,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,CITY OF PENTICTON,150,146,2,2,0,0,68,51,1,22,4,1,3,0,0,0,0,61502428.13,410016.1875,349000,901017.5,4565,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,DISTRICT OF SUMMERLAND,32,32,1,1,1,1,24,4,0,0,0,0,0,0,0,0,0,15637566.67,488673.9584,445000,250186.33,6900,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,OLIVER RURAL,38,31,8,0,1,0,20,2,0,0,1,1,0,0,0,5,1,18206900,479128.9474,400000,292743,6000,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,PENTICTON RURAL,43,36,8,0,2,0,22,4,0,0,0,0,0,0,3,4,0,17050780,396529.7674,372000,265106.8,5440,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,PRINCETON RURAL,17,14,6,0,0,0,8,0,0,0,0,0,0,0,3,0,0,4114410,242024.1176,200000,54313.1,2000,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,TOWN OF OLIVER,23,23,0,0,0,1,13,7,0,2,0,0,0,0,0,0,0,7029300,305621.7391,280000,89148,2610,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,TOWN OF OSOYOOS,63,56,1,0,0,1,31,23,0,0,2,1,0,1,5,0,0,18131062.14,287794.6371,250000,258456.83,3000,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,TOWN OF PRINCETON,9,9,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1998232.94,222025.8822,217450,NA,NA,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,VILLAGE OF KEREMEOS,4,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,820600,205150,170300,NA,NA,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,ASHCROFT RURAL,14,12,6,1,0,0,5,0,0,0,0,0,0,0,1,0,1,3757274,268376.7143,234237,49586.98,2684.74,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,CITY OF KAMLOOPS,295,287,2,4,0,2,206,54,0,19,6,3,1,2,0,1,1,115313835.5,390894.3577,369000,1584651.96,5040,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,CITY OF MERRITT,45,42,0,0,0,1,34,7,0,0,3,2,0,1,0,0,0,11052772,245617.1556,198000,138518.94,1960,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,DISTRICT OF BARRIERE,13,11,1,0,0,0,10,0,0,0,2,0,0,2,0,0,0,2996955,230535,230500,36749.55,2610,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,DISTRICT OF CLEARWATER,7,7,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1922000,274571.4286,225000,26640,2500,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,DISTRICT OF LOGAN LAKE,16,16,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,2705650,169103.125,178500,30972,1785,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,KAMLOOPS RURAL,41,40,17,0,4,0,18,1,0,0,0,0,0,0,1,0,0,13979999.99,340975.6095,325000,210025,4500,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,MERRITT RURAL,7,6,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,3559100,508442.8571,547500,57982,8950,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,VILLAGE OF ASHCROFT,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,107900,107900,107900,NA,NA,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,VILLAGE OF CACHE CREEK,5,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,533500,106700,81250,NA,NA,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,VILLAGE OF CHASE,8,5,0,3,0,0,2,0,0,0,0,0,0,0,2,0,1,1516527,189565.875,182500,19120.54,1925,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,VILLAGE OF CLINTON,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225000,225000,225000,NA,NA,0,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,VILLAGE OF LYTTON,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,255000,127500,127500,NA,NA,0,NA,NA,NA,NA
2017-05-01,Unknown,UNKNOWN,UNKNOWN,69,65,0,0,0,0,9,6,4,46,3,0,0,3,1,0,0,87196359.08,1263715.349,440000,1843273.59,7460,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,ALBERNI RURAL,146,133,27,1,0,0,100,3,1,1,4,1,0,3,7,1,1,69245308.24,474282.9332,423500,1121672.32,6325,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,CITY OF PORT ALBERNI,76,74,0,0,1,3,57,9,0,4,2,1,1,0,0,0,0,17240684,226851.1053,208500,217770.34,2170,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,DISTRICT OF TOFINO,6,5,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,3751460,625243.3333,770000,64194.6,13400,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,DISTRICT OF UCLUELET,31,27,0,1,0,0,20,1,5,0,3,2,1,0,1,0,0,7174600,231438.7097,170000,94281,1700,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,CITY OF COLWOOD,53,53,0,0,0,1,36,14,0,2,0,0,0,0,0,0,0,32643106.03,615907.6609,585000,469017.23,8300,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,CITY OF VICTORIA,298,281,0,3,0,4,56,152,4,62,17,3,12,2,0,0,0,160803352.9,539608.5667,415000,2500318.8,5850,13,5758061.36,442927.7969,360961.36,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF CENTRAL SAANICH,28,25,0,0,0,1,14,10,0,0,0,0,0,0,0,3,0,16153501,576910.75,633750,268126.08,10675,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF ESQUIMALT,42,39,0,0,0,1,19,19,0,0,3,2,1,0,0,0,0,21463020.55,511024.2988,427500,349408.44,6550,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF HIGHLANDS,6,6,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,4262833.33,710472.2217,766250,66506.67,13075,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF LANGFORD,163,157,4,0,0,0,90,57,0,6,6,1,5,0,0,0,0,87002305.81,533756.4774,496008.19,1301953.44,6650,6,3574570,595761.6667,521105,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF METCHOSIN,8,8,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7261900,907737.5,818450,129238,14369,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF NORTH SAANICH,25,23,1,0,1,0,19,2,0,0,0,0,0,0,0,1,1,25199568,1007982.72,1050000,462060.68,19000,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF OAK BAY,27,26,0,0,0,2,16,8,0,0,1,1,0,0,0,0,0,30306828,1122475.111,990000,596016.28,17800,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF SAANICH,251,251,4,0,0,2,153,91,0,1,0,0,0,0,0,0,0,180940096.7,720876.8793,717500,3166426.61,12350,27,23120500,856314.8148,849900,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF SOOKE,46,45,0,0,0,0,36,7,1,1,1,1,0,0,0,0,0,19878628.93,432144.1072,442517.07,286634.57,6790,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,GULF ISLANDS RURAL,67,63,14,1,2,0,41,1,4,0,2,0,1,1,2,0,0,34433771.67,513936.8906,422000,581836.88,6440,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,TOWN OF SIDNEY,45,44,0,0,0,0,20,22,0,2,1,0,1,0,0,0,0,21360774.42,474683.876,495000,303611.53,7700,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,TOWN OF VIEW ROYAL,30,30,0,0,0,1,7,15,0,7,0,0,0,0,0,0,0,15210686,507022.8667,396000,248473.72,5920,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,VICTORIA RURAL,17,15,6,1,0,0,7,0,0,1,2,0,0,2,0,0,0,8389657.03,493509.2371,395000,134593.14,5900,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,BELLA COOLA RURAL,11,11,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1286000,116909.0909,105000,15010,1050,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,DISTRICT OF PORT HARDY,9,9,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,1160400,128933.3333,97000,12874,970,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,PORT HARDY RURAL,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,339000,113000,60000,NA,NA,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,TOWN OF PORT MCNEILL,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,487500,121875,83750,NA,NA,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,VILLAGE OF ALERT BAY,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,506000,168666.6667,31000,NA,NA,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,VILLAGE OF PORT ALICE,6,6,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,338000,56333.33333,50500,3380,505,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,COMOX VALLEY,CITY OF COURTENAY,213,204,0,1,0,13,63,41,82,4,9,5,3,1,0,0,0,79076082,371249.2113,187000,1225487.16,1800,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,COMOX VALLEY,COURTENAY RURAL,70,64,15,0,1,0,38,8,1,1,2,1,0,1,3,1,0,28423456.83,406049.3833,321750,439392.23,4435,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,COMOX VALLEY,TOWN OF COMOX,42,40,1,0,0,4,23,11,0,1,2,1,1,0,0,0,0,36556391,870390.2619,408750,745610.73,5935,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,COMOX VALLEY,VILLAGE OF CUMBERLAND,14,14,0,1,0,0,12,1,0,0,0,0,0,0,0,0,0,6513212.56,465229.4686,495000,93710,7350,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,COWICHAN VALLEY,CITY OF DUNCAN,19,18,0,0,0,1,11,5,0,1,1,1,0,0,0,0,0,5277540.32,277765.28,250000,71621.97,3000,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,COWICHAN VALLEY,DISTRICT OF NORTH COWICHAN,105,102,5,2,0,1,81,13,0,0,2,1,0,1,0,1,0,44380273.77,422669.274,359900,661523.05,5100,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,COWICHAN VALLEY,DUNCAN RURAL,105,101,17,2,0,0,76,5,0,1,3,2,0,1,0,0,1,54079118.49,515039.2237,440000,886225.89,6000,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,COWICHAN VALLEY,TOWN OF LADYSMITH,42,42,0,0,0,3,25,7,0,7,0,0,0,0,0,0,0,14054098.06,334621.3824,319000,177378.21,3711.01,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,COWICHAN VALLEY,TOWN OF LAKE COWICHAN,20,20,1,1,0,0,13,3,0,2,0,0,0,0,0,0,0,4594983.01,229749.1505,249500,54934.66,2859,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,NANAIMO,CITY OF NANAIMO,371,363,3,3,0,10,210,93,23,21,7,2,3,2,0,0,1,151345567.1,407939.5341,365000,2240478.27,5000,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,NANAIMO,CITY OF PARKSVILLE,81,79,0,0,0,0,38,24,7,10,2,0,0,2,0,0,0,28772169,355211.963,344000,370203.68,4580,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,NANAIMO,DISTRICT OF LANTZVILLE (SD 69),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,NANAIMO,NANAIMO RURAL,70,67,18,1,1,0,46,0,1,0,0,0,0,0,2,1,0,29753246,425046.3714,370000,464078.42,5400,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,NANAIMO,TOWN OF QUALICUM BEACH,31,29,0,0,0,1,24,3,1,0,2,0,2,0,0,0,0,14438182.86,465747.8342,462000,220026.23,7000,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,POWELL RIVER,DISTRICT OF POWELL RIVER,54,51,1,0,1,1,45,3,0,0,3,3,0,0,0,0,0,15334150,283965.7407,277500,203648.5,3398,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,POWELL RIVER,POWELL RIVER RURAL,14,12,2,0,0,0,10,0,0,0,0,0,0,0,0,0,2,2408397.88,172028.42,102500,31133.98,1025,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,STRATHCONA,CAMPBELL RIVER RURAL,28,26,13,0,1,0,10,0,0,2,1,1,0,0,1,0,0,10522939,375819.25,379950,161275.78,5599,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,STRATHCONA,DISTRICT OF CAMPBELL RIVER,130,127,1,2,0,0,86,27,1,10,3,1,2,0,0,0,0,41381882.16,318322.1705,305000,544279.02,3760,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,STRATHCONA,VILLAGE OF GOLD RIVER,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,850000,170000,160000,8900,1600,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,STRATHCONA,VILLAGE OF SAYWARD,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,303000,151500,151500,NA,NA,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,STRATHCONA,VILLAGE OF TAHSIS,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,104601,34867,25400,NA,NA,0,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,STRATHCONA,VILLAGE OF ZEBALLOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-06-01,Cariboo,CARIBOO,CITY OF QUESNEL,32,31,1,1,1,1,25,0,0,2,1,1,0,0,0,0,0,5975085.71,186721.4284,156750,72765.86,1567.5,0,NA,NA,NA,NA
2017-06-01,Cariboo,CARIBOO,CITY OF WILLIAMS LAKE,35,30,2,0,0,0,23,5,0,0,5,5,0,0,0,0,0,10133900,289540,223000,141031.1,2460,0,NA,NA,NA,NA
2017-06-01,Cariboo,CARIBOO,DISTRICT OF 100 MILE HOUSE,12,11,0,0,0,0,8,3,0,0,1,1,0,0,0,0,0,2008750,167395.8333,147250,NA,NA,0,NA,NA,NA,NA
2017-06-01,Cariboo,CARIBOO,DISTRICT OF WELLS,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,142000,71000,71000,NA,NA,0,NA,NA,NA,NA
2017-06-01,Cariboo,CARIBOO,QUESNEL RURAL,43,39,19,0,0,0,20,0,0,0,1,1,0,0,1,2,0,7262199,168888.3488,136500,87093.88,1365,NA,NA,NA,NA,NA
2017-06-01,Cariboo,CARIBOO,WILLIAMS LAKE RURAL,170,155,61,0,7,0,86,0,0,1,2,2,0,0,5,6,2,41165331.48,242149.0087,192500,578851.74,1925,NA,NA,NA,NA,NA
2017-06-01,Cariboo,FRASER-FORT GEORGE,CITY OF PRINCE GEORGE,273,269,8,2,0,3,221,25,2,8,4,3,0,1,0,0,0,80233323.99,293894.9597,260000,1039598,2900,NA,NA,NA,NA,NA
2017-06-01,Cariboo,FRASER-FORT GEORGE,DISTRICT OF MACKENZIE,15,13,0,0,0,0,10,3,0,0,2,2,0,0,0,0,0,2904900,193660,164000,34882,1640,0,NA,NA,NA,NA
2017-06-01,Cariboo,FRASER-FORT GEORGE,PRINCE GEORGE RURAL,71,66,50,0,1,0,15,0,0,0,0,0,0,0,4,1,0,21928489,308851.9577,296000,323411.66,3920,NA,NA,NA,NA,NA
2017-06-01,Cariboo,FRASER-FORT GEORGE,VILLAGE OF MCBRIDE,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,305500,101833.3333,73500,NA,NA,0,NA,NA,NA,NA
2017-06-01,Cariboo,FRASER-FORT GEORGE,VILLAGE OF VALEMOUNT,8,8,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2240000,280000,252000,NA,NA,NA,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,CITY OF CASTLEGAR,24,24,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,7277009,303208.7083,279499.5,98840.18,3589.99,0,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,CITY OF NELSON,43,42,0,0,0,0,33,6,0,3,1,1,0,0,0,0,0,14429218,335563.2093,350000,192126.11,4700,NA,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,CRESTON RURAL,39,34,18,0,0,0,16,0,0,0,0,0,0,0,2,3,0,11239397,288189.6667,225000,168453.97,2500,NA,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,NAKUSP RURAL,20,19,12,0,1,0,6,0,0,0,0,0,0,0,0,1,0,4906000,245300,238900,65808,2778,0,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,NELSON RURAL,49,47,19,0,1,0,26,1,0,0,0,0,0,0,2,0,0,17780810.19,362873.6773,345000,267245.44,4900,NA,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,TOWN OF CRESTON,24,23,0,0,0,1,20,2,0,0,1,1,0,0,0,0,0,5434424.08,226434.3367,219500,63690,2290,0,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,VILLAGE OF KASLO,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,652250,217416.6667,225000,NA,NA,0,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,VILLAGE OF NAKUSP,7,7,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1405000,200714.2857,192000,15550,1920,NA,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,VILLAGE OF NEW DENVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,VILLAGE OF SALMO,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,601400,200466.6667,239900,NA,NA,0,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,VILLAGE OF SILVERTON,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31850,31850,31850,NA,NA,0,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,VILLAGE OF SLOCAN,6,6,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,611000,101833.3333,110000,6110,1100,0,NA,NA,NA,NA
2017-06-01,Kootenay,EAST KOOTENAY,CITY OF CRANBROOK,58,57,1,0,0,0,47,7,0,2,1,0,0,1,0,0,0,16434586.45,283354.9388,260000,207704.72,3100,0,NA,NA,NA,NA
2017-06-01,Kootenay,EAST KOOTENAY,CITY OF FERNIE,31,30,0,0,0,0,23,7,0,0,1,0,0,1,0,0,0,10977256.53,354105.0494,340000,161333.75,4800,NA,NA,NA,NA,NA
